,disease_pair,correct_node,negative_samples,disease_1,disease_2,options_combined,text,disease_1_id,disease_2_id
144,"('androgenic alopecia', 'cocaine dependence')",SLC14A2,"GSDMB, PRKACB, ATXN2, PNPLA3",androgenic alopecia,cocaine dependence,"GSDMB, SLC14A2,  ATXN2,  PNPLA3,  PRKACB","Out of the given list, which Gene is associated with androgenic alopecia and cocaine dependence. Given list is: GSDMB, SLC14A2,  ATXN2,  PNPLA3,  PRKACB",DOID:0050801,DOID:9975
145,"('sclerosing cholangitis', 'endometrial cancer')",ATXN2,"PLA2G6, RP1, FADS2, VRK2",sclerosing cholangitis,endometrial cancer," FADS2,  RP1, ATXN2,  VRK2, PLA2G6","Out of the given list, which Gene is associated with sclerosing cholangitis and endometrial cancer. Given list is:  FADS2,  RP1, ATXN2,  VRK2, PLA2G6",DOID:14268,DOID:1380
146,"('cocaine dependence', 'mature B-cell neoplasm')",SLC14A2,"ERAP1, TP63, CHST11, GSDMB",cocaine dependence,mature B-cell neoplasm," CHST11,  GSDMB, ERAP1,  TP63, SLC14A2","Out of the given list, which Gene is associated with cocaine dependence and mature B-cell neoplasm. Given list is:  CHST11,  GSDMB, ERAP1,  TP63, SLC14A2",DOID:9975,DOID:706
147,"('cocaine dependence', 'androgenic alopecia')",SLC14A2,"NEURL1, ADGRV1, ATG5, HLA-DPB1",cocaine dependence,androgenic alopecia," ATG5,  ADGRV1, NEURL1, SLC14A2,  HLA-DPB1","Out of the given list, which Gene is associated with cocaine dependence and androgenic alopecia. Given list is:  ATG5,  ADGRV1, NEURL1, SLC14A2,  HLA-DPB1",DOID:9975,DOID:0050801
148,"('epilepsy', 'focal epilepsy')",SCN1A,"HAAO, NEURL1, MYBPC3, CLDN14",epilepsy,focal epilepsy," NEURL1, SCN1A, HAAO,  CLDN14,  MYBPC3","Out of the given list, which Gene is associated with epilepsy and focal epilepsy. Given list is:  NEURL1, SCN1A, HAAO,  CLDN14,  MYBPC3",DOID:1826,DOID:2234
149,"('myeloproliferative neoplasm', 'interstitial lung disease')",TERT,"UCK2, CLDN14, STAT3, LRMDA",myeloproliferative neoplasm,interstitial lung disease," LRMDA, TERT,  CLDN14, UCK2,  STAT3","Out of the given list, which Gene is associated with myeloproliferative neoplasm and interstitial lung disease. Given list is:  LRMDA, TERT,  CLDN14, UCK2,  STAT3",DOID:2226,DOID:3082
150,"('myeloproliferative neoplasm', 'triple-receptor negative breast cancer')",TERT,"SCN1A, TGM2, COL22A1, ABO",myeloproliferative neoplasm,triple-receptor negative breast cancer," ABO, SCN1A, TERT,  TGM2,  COL22A1","Out of the given list, which Gene is associated with myeloproliferative neoplasm and triple-receptor negative breast cancer. Given list is:  ABO, SCN1A, TERT,  TGM2,  COL22A1",DOID:2226,DOID:0060081
151,"('myeloproliferative neoplasm', 'idiopathic pulmonary fibrosis')",TERT,"PTK2B, FBN1, DLEU7, IL2RA",myeloproliferative neoplasm,idiopathic pulmonary fibrosis," FBN1, TERT,  DLEU7,  IL2RA, PTK2B","Out of the given list, which Gene is associated with myeloproliferative neoplasm and idiopathic pulmonary fibrosis. Given list is:  FBN1, TERT,  DLEU7,  IL2RA, PTK2B",DOID:2226,DOID:0050156
152,"('myeloproliferative neoplasm', 'central nervous system cancer')",TERT,"WNT4, ADH1B, VAV3, GATA3",myeloproliferative neoplasm,central nervous system cancer,"WNT4, TERT,  VAV3,  ADH1B,  GATA3","Out of the given list, which Gene is associated with myeloproliferative neoplasm and central nervous system cancer. Given list is: WNT4, TERT,  VAV3,  ADH1B,  GATA3",DOID:2226,DOID:3620
153,"('myeloproliferative neoplasm', 'estrogen-receptor negative breast cancer')",TERT,"BTBD9, MYH7, STAT4, ERAP1",myeloproliferative neoplasm,estrogen-receptor negative breast cancer," STAT4,  MYH7, BTBD9,  ERAP1, TERT","Out of the given list, which Gene is associated with myeloproliferative neoplasm and estrogen-receptor negative breast cancer. Given list is:  STAT4,  MYH7, BTBD9,  ERAP1, TERT",DOID:2226,DOID:0060076
154,"('myeloproliferative neoplasm', 'lung adenocarcinoma')",TERT,"HLA-DQB1, STAT6, SLC17A4, PRX",myeloproliferative neoplasm,lung adenocarcinoma," SLC17A4,  STAT6, HLA-DQB1, TERT,  PRX","Out of the given list, which Gene is associated with myeloproliferative neoplasm and lung adenocarcinoma. Given list is:  SLC17A4,  STAT6, HLA-DQB1, TERT,  PRX",DOID:2226,DOID:3910
155,"('myeloproliferative neoplasm', 'lung carcinoma')",TERT,"DMRT1, LPP, TENM2, UCK2",myeloproliferative neoplasm,lung carcinoma," LPP,  TENM2, DMRT1, TERT,  UCK2","Out of the given list, which Gene is associated with myeloproliferative neoplasm and lung carcinoma. Given list is:  LPP,  TENM2, DMRT1, TERT,  UCK2",DOID:2226,DOID:3905
156,"('rheumatic heart disease', 'autoimmune hepatitis')",HLA-DQB1,"ALDH1A2, TTLL5, SPRED2, TLR1",rheumatic heart disease,autoimmune hepatitis," SPRED2,  TTLL5,  TLR1, ALDH1A2, HLA-DQB1","Out of the given list, which Gene is associated with rheumatic heart disease and autoimmune hepatitis. Given list is:  SPRED2,  TTLL5,  TLR1, ALDH1A2, HLA-DQB1",DOID:0050827,DOID:2048
157,"('rheumatic heart disease', 'oral cavity cancer')",HLA-DQB1,"IL23R, TM6SF2, SYT14, BTC",rheumatic heart disease,oral cavity cancer,"HLA-DQB1, IL23R,  TM6SF2,  BTC,  SYT14","Out of the given list, which Gene is associated with rheumatic heart disease and oral cavity cancer. Given list is: HLA-DQB1, IL23R,  TM6SF2,  BTC,  SYT14",DOID:0050827,DOID:8618
158,"('rheumatic heart disease', 'oropharynx cancer')",HLA-DQB1,"IL23R, PLA2G6, FAM13A, ADH1B",rheumatic heart disease,oropharynx cancer," PLA2G6, HLA-DQB1, IL23R,  FAM13A,  ADH1B","Out of the given list, which Gene is associated with rheumatic heart disease and oropharynx cancer. Given list is:  PLA2G6, HLA-DQB1, IL23R,  FAM13A,  ADH1B",DOID:0050827,DOID:8557
159,"('rheumatic heart disease', 'nephrotic syndrome')",HLA-DQB1,"PTK2B, CACNA1D, TFAP2B, STAT4",rheumatic heart disease,nephrotic syndrome," CACNA1D,  TFAP2B,  STAT4, HLA-DQB1, PTK2B","Out of the given list, which Gene is associated with rheumatic heart disease and nephrotic syndrome. Given list is:  CACNA1D,  TFAP2B,  STAT4, HLA-DQB1, PTK2B",DOID:0050827,DOID:1184
160,"('atrophic gastritis', 'duodenal ulcer')",PSCA,"CDK8, ATP2B1, CACNA1A, HOXD3",atrophic gastritis,duodenal ulcer," HOXD3,  ATP2B1, PSCA, CDK8,  CACNA1A","Out of the given list, which Gene is associated with atrophic gastritis and duodenal ulcer. Given list is:  HOXD3,  ATP2B1, PSCA, CDK8,  CACNA1A",DOID:8929,DOID:1724
161,"('atrophic gastritis', 'gastric fundus cancer')",PSCA,"EYA2, PSCA, CDKAL1, KAT2B",atrophic gastritis,gastric fundus cancer,"EYA2,  CDKAL1,  KAT2B,  PSCA, PSCA","Out of the given list, which Gene is associated with atrophic gastritis and gastric fundus cancer. Given list is: EYA2,  CDKAL1,  KAT2B,  PSCA, PSCA",DOID:8929,DOID:10538
162,"('wheat allergy', 'dengue hemorrhagic fever')",RBFOX1,"DLEU7, DMRT1, NEURL1, ADGRG6",wheat allergy,dengue hemorrhagic fever," NEURL1, DLEU7,  DMRT1,  ADGRG6, RBFOX1","Out of the given list, which Gene is associated with wheat allergy and dengue hemorrhagic fever. Given list is:  NEURL1, DLEU7,  DMRT1,  ADGRG6, RBFOX1",DOID:3660,DOID:12206
163,"('pulmonary hypertension', 'dermatomyositis')",HLA-DPA1,"AHR, C5, HLA-DQA1, CLPTM1L",pulmonary hypertension,dermatomyositis," CLPTM1L,  C5, HLA-DPA1, AHR,  HLA-DQA1","Out of the given list, which Gene is associated with pulmonary hypertension and dermatomyositis. Given list is:  CLPTM1L,  C5, HLA-DPA1, AHR,  HLA-DQA1",DOID:6432,DOID:10223
164,"('cutaneous lupus erythematosus', 'membranous glomerulonephritis')",HLA-DQA1,"ZEB2, HNF1B, JAK2, IL6",cutaneous lupus erythematosus,membranous glomerulonephritis," JAK2,  IL6, HLA-DQA1,  HNF1B, ZEB2","Out of the given list, which Gene is associated with cutaneous lupus erythematosus and membranous glomerulonephritis. Given list is:  JAK2,  IL6, HLA-DQA1,  HNF1B, ZEB2",DOID:0050169,DOID:10976
165,"('cutaneous lupus erythematosus', 'autoimmune hepatitis')",HLA-DQA1,"IL6, FGFR2, HLA-DQB1, TERT",cutaneous lupus erythematosus,autoimmune hepatitis," FGFR2,  TERT, HLA-DQA1, IL6,  HLA-DQB1","Out of the given list, which Gene is associated with cutaneous lupus erythematosus and autoimmune hepatitis. Given list is:  FGFR2,  TERT, HLA-DQA1, IL6,  HLA-DQB1",DOID:0050169,DOID:2048
166,"('cutaneous lupus erythematosus', 'immunoglobulin alpha deficiency')",HLA-DQA1,"DTNB, TNXB, FAM13A, IL10",cutaneous lupus erythematosus,immunoglobulin alpha deficiency,"DTNB,  IL10,  TNXB,  FAM13A, HLA-DQA1","Out of the given list, which Gene is associated with cutaneous lupus erythematosus and immunoglobulin alpha deficiency. Given list is: DTNB,  IL10,  TNXB,  FAM13A, HLA-DQA1",DOID:0050169,DOID:0060025
167,"('cutaneous lupus erythematosus', 'collagenous colitis')",HLA-DQA1,"THADA, MUC5B, BRCA2, DLEU7",cutaneous lupus erythematosus,collagenous colitis," MUC5B,  DLEU7,  BRCA2, HLA-DQA1, THADA","Out of the given list, which Gene is associated with cutaneous lupus erythematosus and collagenous colitis. Given list is:  MUC5B,  DLEU7,  BRCA2, HLA-DQA1, THADA",DOID:0050169,DOID:0060183
168,"('cutaneous lupus erythematosus', 'cervix carcinoma')",HLA-DQA1,"PRX, RAD51B, HIP1, CDK8",cutaneous lupus erythematosus,cervix carcinoma,"PRX,  CDK8,  HIP1, HLA-DQA1,  RAD51B","Out of the given list, which Gene is associated with cutaneous lupus erythematosus and cervix carcinoma. Given list is: PRX,  CDK8,  HIP1, HLA-DQA1,  RAD51B",DOID:0050169,DOID:2893
169,"('systemic scleroderma', 'myositis')",STAT4,"HLA-DQA1, UGT1A9, TNRC6B, HLA-DPB1",systemic scleroderma,myositis," HLA-DPB1, STAT4,  UGT1A9, HLA-DQA1,  TNRC6B","Out of the given list, which Gene is associated with systemic scleroderma and myositis. Given list is:  HLA-DPB1, STAT4,  UGT1A9, HLA-DQA1,  TNRC6B",DOID:418,DOID:633
170,"('systemic scleroderma', ""Sjogren's syndrome"")",STAT4,"SLC14A2, COL22A1, TDP2, KITLG",systemic scleroderma,Sjogren's syndrome," KITLG, STAT4, SLC14A2,  COL22A1,  TDP2","Out of the given list, which Gene is associated with systemic scleroderma and Sjogren's syndrome. Given list is:  KITLG, STAT4, SLC14A2,  COL22A1,  TDP2",DOID:418,DOID:12894
171,"('childhood type dermatomyositis', 'dermatomyositis')",GSDMB,"FTO, PLA2G6, BRCA2, ATP2B1",childhood type dermatomyositis,dermatomyositis,"FTO,  PLA2G6,  ATP2B1, GSDMB,  BRCA2","Out of the given list, which Gene is associated with childhood type dermatomyositis and dermatomyositis. Given list is: FTO,  PLA2G6,  ATP2B1, GSDMB,  BRCA2",DOID:14203,DOID:10223
172,"('central nervous system cancer', 'interstitial lung disease')",TERT,"LRMDA, TENM2, CCDC33, ADGRV1",central nervous system cancer,interstitial lung disease," ADGRV1,  TENM2, TERT, LRMDA,  CCDC33","Out of the given list, which Gene is associated with central nervous system cancer and interstitial lung disease. Given list is:  ADGRV1,  TENM2, TERT, LRMDA,  CCDC33",DOID:3620,DOID:3082
173,"('central nervous system cancer', 'triple-receptor negative breast cancer')",TERT,"CACNA2D1, SLC17A4, KITLG, CAPN14",central nervous system cancer,triple-receptor negative breast cancer," SLC17A4,  KITLG,  CAPN14, CACNA2D1, TERT","Out of the given list, which Gene is associated with central nervous system cancer and triple-receptor negative breast cancer. Given list is:  SLC17A4,  KITLG,  CAPN14, CACNA2D1, TERT",DOID:3620,DOID:0060081
174,"('central nervous system cancer', 'idiopathic pulmonary fibrosis')",TERT,"GRAMD1B, DMRT1, GTF2I, MORC4",central nervous system cancer,idiopathic pulmonary fibrosis,"TERT,  MORC4,  DMRT1, GRAMD1B,  GTF2I","Out of the given list, which Gene is associated with central nervous system cancer and idiopathic pulmonary fibrosis. Given list is: TERT,  MORC4,  DMRT1, GRAMD1B,  GTF2I",DOID:3620,DOID:0050156
175,"('central nervous system cancer', 'myeloproliferative neoplasm')",TERT,"HLA-DQB1, NOD2, SFRP4, SAMM50",central nervous system cancer,myeloproliferative neoplasm,"TERT,  NOD2, HLA-DQB1,  SAMM50,  SFRP4","Out of the given list, which Gene is associated with central nervous system cancer and myeloproliferative neoplasm. Given list is: TERT,  NOD2, HLA-DQB1,  SAMM50,  SFRP4",DOID:3620,DOID:2226
176,"('central nervous system cancer', 'estrogen-receptor negative breast cancer')",TERT,"PHACTR1, DTNB, BABAM1, ABO",central nervous system cancer,estrogen-receptor negative breast cancer," BABAM1,  ABO, TERT, PHACTR1,  DTNB","Out of the given list, which Gene is associated with central nervous system cancer and estrogen-receptor negative breast cancer. Given list is:  BABAM1,  ABO, TERT, PHACTR1,  DTNB",DOID:3620,DOID:0060076
177,"('central nervous system cancer', 'lung adenocarcinoma')",TERT,"BRCA2, HLA-DPA1, ADGRG6, CDKAL1",central nervous system cancer,lung adenocarcinoma," ADGRG6,  CDKAL1, TERT,  HLA-DPA1, BRCA2","Out of the given list, which Gene is associated with central nervous system cancer and lung adenocarcinoma. Given list is:  ADGRG6,  CDKAL1, TERT,  HLA-DPA1, BRCA2",DOID:3620,DOID:3910
178,"('central nervous system cancer', 'lung carcinoma')",TERT,"MYBPC3, BTN2A1, STAT4, GCKR",central nervous system cancer,lung carcinoma,"MYBPC3,  GCKR,  STAT4, TERT,  BTN2A1","Out of the given list, which Gene is associated with central nervous system cancer and lung carcinoma. Given list is: MYBPC3,  GCKR,  STAT4, TERT,  BTN2A1",DOID:3620,DOID:3905
179,"('opiate dependence', 'lung small cell carcinoma')",ADGRV1,"IL23R, HLA-DQB2, RBFOX1, DLEU7",opiate dependence,lung small cell carcinoma,"IL23R,  HLA-DQB2, ADGRV1,  DLEU7,  RBFOX1","Out of the given list, which Gene is associated with opiate dependence and lung small cell carcinoma. Given list is: IL23R,  HLA-DQB2, ADGRV1,  DLEU7,  RBFOX1",DOID:2559,DOID:5409
180,"('opiate dependence', 'cervix carcinoma')",ADGRV1,"THADA, AHR, CASZ1, SCN1A",opiate dependence,cervix carcinoma," SCN1A, ADGRV1,  AHR, THADA,  CASZ1","Out of the given list, which Gene is associated with opiate dependence and cervix carcinoma. Given list is:  SCN1A, ADGRV1,  AHR, THADA,  CASZ1",DOID:2559,DOID:2893
181,"('estrogen-receptor negative breast cancer', 'interstitial lung disease')",TERT,"ABO, PTPN22, PSCA, FAM227B",estrogen-receptor negative breast cancer,interstitial lung disease," FAM227B,  PTPN22,  PSCA, ABO, TERT","Out of the given list, which Gene is associated with estrogen-receptor negative breast cancer and interstitial lung disease. Given list is:  FAM227B,  PTPN22,  PSCA, ABO, TERT",DOID:0060076,DOID:3082
182,"('estrogen-receptor negative breast cancer', 'triple-receptor negative breast cancer')",TERT,"TRAF3IP2, HOXD3, ATP2B1, HBB",estrogen-receptor negative breast cancer,triple-receptor negative breast cancer,"TRAF3IP2,  HBB, TERT,  HOXD3,  ATP2B1","Out of the given list, which Gene is associated with estrogen-receptor negative breast cancer and triple-receptor negative breast cancer. Given list is: TRAF3IP2,  HBB, TERT,  HOXD3,  ATP2B1",DOID:0060076,DOID:0060081
183,"('estrogen-receptor negative breast cancer', 'idiopathic pulmonary fibrosis')",TERT,"PHGDH, SFRP4, IL23R, BTBD9",estrogen-receptor negative breast cancer,idiopathic pulmonary fibrosis," IL23R,  BTBD9,  SFRP4, PHGDH, TERT","Out of the given list, which Gene is associated with estrogen-receptor negative breast cancer and idiopathic pulmonary fibrosis. Given list is:  IL23R,  BTBD9,  SFRP4, PHGDH, TERT",DOID:0060076,DOID:0050156
184,"('estrogen-receptor negative breast cancer', 'squamous cell carcinoma')",BRCA2,"CLDN14, MTTP, HLA-DPB1, HLA-DQB1",estrogen-receptor negative breast cancer,squamous cell carcinoma,"BRCA2, CLDN14,  HLA-DPB1,  HLA-DQB1,  MTTP","Out of the given list, which Gene is associated with estrogen-receptor negative breast cancer and squamous cell carcinoma. Given list is: BRCA2, CLDN14,  HLA-DPB1,  HLA-DQB1,  MTTP",DOID:0060076,DOID:1749
185,"('estrogen-receptor negative breast cancer', 'myeloproliferative neoplasm')",TERT,"GNE, HLA-DQB2, BRCA2, STAT3",estrogen-receptor negative breast cancer,myeloproliferative neoplasm,"TERT,  HLA-DQB2,  BRCA2, GNE,  STAT3","Out of the given list, which Gene is associated with estrogen-receptor negative breast cancer and myeloproliferative neoplasm. Given list is: TERT,  HLA-DQB2,  BRCA2, GNE,  STAT3",DOID:0060076,DOID:2226
186,"('estrogen-receptor negative breast cancer', 'central nervous system cancer')",TERT,"COL22A1, CACNA1D, FER, TNFSF15",estrogen-receptor negative breast cancer,central nervous system cancer," FER,  CACNA1D, COL22A1,  TNFSF15, TERT","Out of the given list, which Gene is associated with estrogen-receptor negative breast cancer and central nervous system cancer. Given list is:  FER,  CACNA1D, COL22A1,  TNFSF15, TERT",DOID:0060076,DOID:3620
187,"('estrogen-receptor negative breast cancer', 'lung adenocarcinoma')",TERT,"SAMD9L, DAB2IP, IL23R, PTPRD",estrogen-receptor negative breast cancer,lung adenocarcinoma,"SAMD9L,  PTPRD,  DAB2IP,  IL23R, TERT","Out of the given list, which Gene is associated with estrogen-receptor negative breast cancer and lung adenocarcinoma. Given list is: SAMD9L,  PTPRD,  DAB2IP,  IL23R, TERT",DOID:0060076,DOID:3910
188,"('estrogen-receptor negative breast cancer', 'lung squamous cell carcinoma')",BRCA2,"SULT1B1, SPRED2, CCDC33, CHST11",estrogen-receptor negative breast cancer,lung squamous cell carcinoma,"BRCA2, SULT1B1,  SPRED2,  CHST11,  CCDC33","Out of the given list, which Gene is associated with estrogen-receptor negative breast cancer and lung squamous cell carcinoma. Given list is: BRCA2, SULT1B1,  SPRED2,  CHST11,  CCDC33",DOID:0060076,DOID:3907
189,"('estrogen-receptor negative breast cancer', 'lung carcinoma')",TERT,"PLA2G6, TP53, ABCG2, GATA3",estrogen-receptor negative breast cancer,lung carcinoma," ABCG2,  GATA3,  TP53, TERT, PLA2G6","Out of the given list, which Gene is associated with estrogen-receptor negative breast cancer and lung carcinoma. Given list is:  ABCG2,  GATA3,  TP53, TERT, PLA2G6",DOID:0060076,DOID:3905
190,"('dermatomyositis', 'pulmonary hypertension')",HLA-DPA1,"TG, PNPLA3, ZFPM2, UMOD",dermatomyositis,pulmonary hypertension,"TG, HLA-DPA1,  PNPLA3,  ZFPM2,  UMOD","Out of the given list, which Gene is associated with dermatomyositis and pulmonary hypertension. Given list is: TG, HLA-DPA1,  PNPLA3,  ZFPM2,  UMOD",DOID:10223,DOID:6432
191,"('dermatomyositis', 'childhood type dermatomyositis')",GSDMB,"HLA-B, POU5F1B, ADH1B, HLA-DQA1",dermatomyositis,childhood type dermatomyositis,"GSDMB,  HLA-DQA1,  ADH1B,  POU5F1B, HLA-B","Out of the given list, which Gene is associated with dermatomyositis and childhood type dermatomyositis. Given list is: GSDMB,  HLA-DQA1,  ADH1B,  POU5F1B, HLA-B",DOID:10223,DOID:14203
192,"('esophagus adenocarcinoma', ""Barrett's esophagus"")",CRTC1,"HLA-DQB2, PNPLA3, TERT, EPDR1",esophagus adenocarcinoma,Barrett's esophagus," TERT, HLA-DQB2,  EPDR1,  PNPLA3, CRTC1","Out of the given list, which Gene is associated with esophagus adenocarcinoma and Barrett's esophagus. Given list is:  TERT, HLA-DQB2,  EPDR1,  PNPLA3, CRTC1",DOID:4914,DOID:9206
193,"('kidney disease', 'age related macular degeneration')",CFH,"ADH1B, MUC5B, DAB2IP, BTN2A1",kidney disease,age related macular degeneration,"CFH,  MUC5B,  DAB2IP,  BTN2A1, ADH1B","Out of the given list, which Gene is associated with kidney disease and age related macular degeneration. Given list is: CFH,  MUC5B,  DAB2IP,  BTN2A1, ADH1B",DOID:557,DOID:10871
194,"('kidney disease', 'Kuhnt-Junius degeneration')",CFH,"GATA3, HLA-DQB2, TNNT2, DNMT3A",kidney disease,Kuhnt-Junius degeneration,"CFH,  HLA-DQB2,  DNMT3A,  TNNT2, GATA3","Out of the given list, which Gene is associated with kidney disease and Kuhnt-Junius degeneration. Given list is: CFH,  HLA-DQB2,  DNMT3A,  TNNT2, GATA3",DOID:557,DOID:10873
195,"('anterior uveitis', 'ankylosing spondylitis')",ERAP1,"TNFSF15, UGT1A8, HBB, SYT14",anterior uveitis,ankylosing spondylitis," SYT14, TNFSF15,  UGT1A8,  HBB, ERAP1","Out of the given list, which Gene is associated with anterior uveitis and ankylosing spondylitis. Given list is:  SYT14, TNFSF15,  UGT1A8,  HBB, ERAP1",DOID:1407,DOID:7147
196,"('dilated cardiomyopathy', 'hypertrophic cardiomyopathy')",MYH7,"HLA-B, HLA-DQA1, IL23R, TLR1",dilated cardiomyopathy,hypertrophic cardiomyopathy," TLR1,  IL23R, HLA-B, MYH7,  HLA-DQA1","Out of the given list, which Gene is associated with dilated cardiomyopathy and hypertrophic cardiomyopathy. Given list is:  TLR1,  IL23R, HLA-B, MYH7,  HLA-DQA1",DOID:12930,DOID:11984
197,"('pancreatic carcinoma', 'malaria')",ABO,"KAT2B, ATXN2, CACNA1S, HLA-DQA1",pancreatic carcinoma,malaria," HLA-DQA1,  CACNA1S, KAT2B, ABO,  ATXN2","Out of the given list, which Gene is associated with pancreatic carcinoma and malaria. Given list is:  HLA-DQA1,  CACNA1S, KAT2B, ABO,  ATXN2",DOID:4905,DOID:12365
198,"('pancreatic carcinoma', 'oral cavity cancer')",CLPTM1L,"CRTC1, COL22A1, CHST11, GCKR",pancreatic carcinoma,oral cavity cancer," GCKR, CLPTM1L,  CHST11, CRTC1,  COL22A1","Out of the given list, which Gene is associated with pancreatic carcinoma and oral cavity cancer. Given list is:  GCKR, CLPTM1L,  CHST11, CRTC1,  COL22A1",DOID:4905,DOID:8618
199,"('pancreatic carcinoma', 'duodenal ulcer')",ABO,"CACNB2, CDK8, CRTC1, PSCA",pancreatic carcinoma,duodenal ulcer,"ABO,  CRTC1, CACNB2,  PSCA,  CDK8","Out of the given list, which Gene is associated with pancreatic carcinoma and duodenal ulcer. Given list is: ABO,  CRTC1, CACNB2,  PSCA,  CDK8",DOID:4905,DOID:1724
200,"('cervix carcinoma', 'membranous glomerulonephritis')",HLA-DQA1,"CAPN14, TNIP1, WNT4, DTNB",cervix carcinoma,membranous glomerulonephritis,"HLA-DQA1,  WNT4,  TNIP1, CAPN14,  DTNB","Out of the given list, which Gene is associated with cervix carcinoma and membranous glomerulonephritis. Given list is: HLA-DQA1,  WNT4,  TNIP1, CAPN14,  DTNB",DOID:2893,DOID:10976
201,"('cervix carcinoma', 'lung small cell carcinoma')",ADGRV1,"BTN2A1, SYT14, VAV3, TLR1",cervix carcinoma,lung small cell carcinoma," TLR1,  SYT14,  VAV3, BTN2A1, ADGRV1","Out of the given list, which Gene is associated with cervix carcinoma and lung small cell carcinoma. Given list is:  TLR1,  SYT14,  VAV3, BTN2A1, ADGRV1",DOID:2893,DOID:5409
202,"('cervix carcinoma', 'autoimmune hepatitis')",HLA-DQA1,"CHST11, FAT3, ERAP1, IL6",cervix carcinoma,autoimmune hepatitis,"CHST11,  FAT3,  IL6,  ERAP1, HLA-DQA1","Out of the given list, which Gene is associated with cervix carcinoma and autoimmune hepatitis. Given list is: CHST11,  FAT3,  IL6,  ERAP1, HLA-DQA1",DOID:2893,DOID:2048
203,"('cervix carcinoma', 'immunoglobulin alpha deficiency')",HLA-DQA1,"SAMD9L, PRKN, CDK8, CFH",cervix carcinoma,immunoglobulin alpha deficiency,"SAMD9L,  CDK8, HLA-DQA1,  CFH,  PRKN","Out of the given list, which Gene is associated with cervix carcinoma and immunoglobulin alpha deficiency. Given list is: SAMD9L,  CDK8, HLA-DQA1,  CFH,  PRKN",DOID:2893,DOID:0060025
204,"('cervix carcinoma', 'collagenous colitis')",HLA-DQA1,"FAM227B, HLA-B, PNPLA3, CDKAL1",cervix carcinoma,collagenous colitis,"FAM227B,  HLA-B, HLA-DQA1,  CDKAL1,  PNPLA3","Out of the given list, which Gene is associated with cervix carcinoma and collagenous colitis. Given list is: FAM227B,  HLA-B, HLA-DQA1,  CDKAL1,  PNPLA3",DOID:2893,DOID:0060183
205,"('cervix carcinoma', 'cutaneous lupus erythematosus')",HLA-DQA1,"HLA-DPA1, VAV3, RBFOX1, PRKN",cervix carcinoma,cutaneous lupus erythematosus," PRKN, HLA-DPA1,  VAV3,  RBFOX1, HLA-DQA1","Out of the given list, which Gene is associated with cervix carcinoma and cutaneous lupus erythematosus. Given list is:  PRKN, HLA-DPA1,  VAV3,  RBFOX1, HLA-DQA1",DOID:2893,DOID:0050169
206,"('cervix carcinoma', 'opiate dependence')",ADGRV1,"HYKK, BRCA2, HLA-DQA1, HOXD3",cervix carcinoma,opiate dependence,"HYKK,  HOXD3,  HLA-DQA1, ADGRV1,  BRCA2","Out of the given list, which Gene is associated with cervix carcinoma and opiate dependence. Given list is: HYKK,  HOXD3,  HLA-DQA1, ADGRV1,  BRCA2",DOID:2893,DOID:2559
207,"(""Hodgkin's lymphoma, nodular sclerosis"", ""Hodgkin's lymphoma"")",GATA3,"HLA-DQB2, CFH, FADS2, TM6SF2","Hodgkin's lymphoma, nodular sclerosis",Hodgkin's lymphoma,"HLA-DQB2,  FADS2, GATA3,  TM6SF2,  CFH","Out of the given list, which Gene is associated with Hodgkin's lymphoma, nodular sclerosis and Hodgkin's lymphoma. Given list is: HLA-DQB2,  FADS2, GATA3,  TM6SF2,  CFH",DOID:8838,DOID:8567
208,"(""Sjogren's syndrome"", 'myositis')",STAT4,"TERT, TERT, HLA-DQA1, KIT",Sjogren's syndrome,myositis," HLA-DQA1,  KIT,  TERT, STAT4, TERT","Out of the given list, which Gene is associated with Sjogren's syndrome and myositis. Given list is:  HLA-DQA1,  KIT,  TERT, STAT4, TERT",DOID:12894,DOID:633
209,"(""Sjogren's syndrome"", 'systemic scleroderma')",STAT4,"JAK2, HLA-DQB1, BTN3A1, TGM2",Sjogren's syndrome,systemic scleroderma," BTN3A1,  HLA-DQB1, JAK2,  TGM2, STAT4","Out of the given list, which Gene is associated with Sjogren's syndrome and systemic scleroderma. Given list is:  BTN3A1,  HLA-DQB1, JAK2,  TGM2, STAT4",DOID:12894,DOID:418
210,"(""Crohn's disease"", 'inflammatory bowel disease')",IL23R,"TNRC18, HBB, LOXL1, RP1",Crohn's disease,inflammatory bowel disease," HBB, TNRC18, IL23R,  RP1,  LOXL1","Out of the given list, which Gene is associated with Crohn's disease and inflammatory bowel disease. Given list is:  HBB, TNRC18, IL23R,  RP1,  LOXL1",DOID:8778,DOID:0050589
211,"(""Crohn's disease"", 'ankylosing spondylitis')",IL23R,"HLA-DQA1, CHEK2, ZEB2, YLPM1",Crohn's disease,ankylosing spondylitis," YLPM1,  CHEK2,  ZEB2, HLA-DQA1, IL23R","Out of the given list, which Gene is associated with Crohn's disease and ankylosing spondylitis. Given list is:  YLPM1,  CHEK2,  ZEB2, HLA-DQA1, IL23R",DOID:8778,DOID:7147
